display_name,importance,place_id,lon,lat,osm_type,licence,osm_id,boundingbox,type,class
"Strahan Expansion (R41), Charles Austin Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.301,176719539,-97.93154202,29.88905575,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456629561,"[u'29.888879', u'29.889222', u'-97.9317549', u'-97.9313263']",parking,amenity
,,,,,,,,,,
"Interstate 35 Frontage Road, Rio Vista, San Marcos, Hays County, Texas, 78666-7235, USA",0.301,167068300,-97.92964056,29.87698735,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",414705683,"[u'29.8767736', u'29.87736', u'-97.9299047', u'-97.9293275']",parking,amenity
,,,,,,,,,,
"Church, North Bishop Street, Franklin Square, San Marcos, Hays County, Texas, 78666, USA",0.301,188221728,-97.96107553,29.8790383,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",547772685,"[u'29.8787855', u'29.8793082', u'-97.9614117', u'-97.960554']",parking,amenity
,,,,,,,,,,
"TX 80;TX 142, Blanco Gardens, San Marcos, Hays County, Texas, 78666-7235, USA",0.301,152515616,-97.9136588,29.88295735,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",334220397,"[u'29.8816689', u'29.8843457', u'-97.9146872', u'-97.9119217']",parking,amenity
,,,,,,,,,,
"Interstate 35 Frontage Road, Millview West, San Marcos, Hays County, Texas, 78666-7235, USA",0.301,145771957,-97.91387229,29.8903244,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",300958372,"[u'29.890119', u'29.8905322', u'-97.9140848', u'-97.9136577']",parking,amenity
,,,,,,,,,,
"Bobcat Stadium East (P10E), Aquarena Springs Drive, Millview West, San Marcos, Hays County, Texas, 78666-7235, USA",0.301,144219205,-97.92404287,29.89119165,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",296586543,"[u'29.8905563', u'29.8923075', u'-97.9245869', u'-97.9228576']",parking,amenity
,,,,,,,,,,
"blue trail, Franklin Square, San Marcos, Hays County, Texas, 78666, USA",0.301,190727750,-97.9602332,29.87495995,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",548020759,"[u'29.8749078', u'29.8750121', u'-97.9602894', u'-97.960177']",parking,amenity
,,,,,,,,,,
"Strahan Reserve (R13), Aquarena Springs Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.301,174048122,-97.93349978,29.88884845,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456631768,"[u'29.8886918', u'29.8889592', u'-97.9336405', u'-97.9333621']",parking,amenity
,,,,,,,,,,
"Mill Street (P12), Third Street, Millview East, San Marcos, Hays County, Texas, 78666, USA",0.201,178246248,-97.92055829,29.89497295,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",475099511,"[u'29.8937578', u'29.8963088', u'-97.9220944', u'-97.919585']",parking,amenity
,,,,,,,,,,
"Tower Garage, 507, North Guadalupe Street, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,177569376,-97.94264587,29.8870256,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",473661172,"[u'29.8867032', u'29.8873378', u'-97.9428748', u'-97.9423146']",parking,amenity
,,,,,,,,,,
"Lower Purgatory Creek Greenspace, Feltner, San Marcos, Hays County, Texas, 78666, USA",0.201,8175223,-97.964186,29.8657359,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",875914075,"[u'29.8656859', u'29.8657859', u'-97.964236', u'-97.964136']",parking,amenity
,,,,,,,,,,
"Cheatham Street, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,175463908,-97.93839548,29.87701025,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",464457978,"[u'29.8768433', u'29.8771308', u'-97.9387302', u'-97.93823']",parking,amenity
,,,,,,,,,,
"Academy Street Garage, Llano Circle, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,144461767,-97.94794159,29.88596305,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",295152894,"[u'29.885596', u'29.8863217', u'-97.948456', u'-97.9474318']",parking,amenity
,,,,,,,,,,
"Speck Street Garage, Academy Street, Castle Forest, San Marcos, Hays County, Texas, 78666, USA",0.201,88702352,-97.95311691,29.89073725,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",45839139,"[u'29.8902476', u'29.8912749', u'-97.9537615', u'-97.9525475']",parking,amenity
,,,,,,,,,,
"Stagecoach Trail, Feltner, San Marcos, Hays County, Texas, 78666, USA",0.201,53330707,-97.9648066,29.864227,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",4254018483,"[u'29.864177', u'29.864277', u'-97.9648566', u'-97.9647566']",parking,amenity
,,,,,,,,,,
"Davis Street, Millview West, San Marcos, Hays County, Texas, 78666-7235, USA",0.201,145773293,-97.91371277,29.89002025,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",300958373,"[u'29.8899425', u'29.8902229', u'-97.9139444', u'-97.9135582']",parking,amenity
,,,,,,,,,,
"South I-35 Frontage, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,7006480,-97.932561,29.8750626,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",715778982,"[u'29.8750126', u'29.8751126', u'-97.932611', u'-97.932511']",parking,amenity
,,,,,,,,,,
"East Grove Street, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,175464679,-97.93866025,29.8758146,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",464457972,"[u'29.8756991', u'29.87593', u'-97.9388064', u'-97.9385141']",parking,amenity
,,,,,,,,,,
"Riverside Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.201,167693570,-97.93110393,29.8781998,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",414705684,"[u'29.8780996', u'29.8783833', u'-97.9313191', u'-97.9308814']",parking,amenity
,,,,,,,,,,
"East Hutchison Street, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.201,83417759,-97.93654594,29.88488535,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",31057563,"[u'29.8847216', u'29.8851086', u'-97.9367364', u'-97.9363501']",parking,amenity
,,,,,,,,,,
"Physical Plant (R6), East Sessom Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.201,176396030,-97.93796346,29.8911091,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456631769,"[u'29.8910065', u'29.8912444', u'-97.938282', u'-97.9378161']",parking,amenity
,,,,,,,,,,
"Thorpe Lane, Millview West, San Marcos, Hays County, Texas, 78666, USA",0.201,196926331,-97.92605189,29.8864717,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",614066298,"[u'29.8858601', u'29.8872182', u'-97.9269817', u'-97.9248172']",parking,amenity
,,,,,,,,,,
"South LBJ Drive, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,175865406,-97.93887171,29.87637555,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",464457973,"[u'29.8760988', u'29.8766962', u'-97.9390252', u'-97.9387182']",parking,amenity
,,,,,,,,,,
"2701, Quail Creek Country Club Road, Fairlawn, San Marcos, Hays County, Texas, 78666-7235, USA",0.201,40887504,-97.8963504,29.8865174,node,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",3052958487,"[u'29.8864674', u'29.8865674', u'-97.8964004', u'-97.8963004']",parking,amenity
,,,,,,,,,,
"North I-35 Frontagw, Feltner, San Marcos, Hays County, Texas, 78666-5923, USA",0.201,176131504,-97.96219139,29.84739295,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",464458004,"[u'29.8471404', u'29.8477298', u'-97.96277', u'-97.9620464']",parking,amenity
,,,,,,,,,,
"Sessom Lot (R2), East Sessom Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.201,175026510,-97.93743301,29.8914696,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456619198,"[u'29.8908922', u'29.8920117', u'-97.9377474', u'-97.936601']",parking,amenity
,,,,,,,,,,
"Edward Gary Garage (Public Pay to Park), 405, North Edward Gary Street, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,178476775,-97.93972899,29.8858676,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",473629464,"[u'29.8856312', u'29.8860998', u'-97.940183', u'-97.9392698']",parking,amenity
,,,,,,,,,,
"Sessom Lot (P5), East Sessom Drive, Rio Vista, San Marcos, Hays County, Texas, 78666, USA",0.201,174671141,-97.93732118,29.891219,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456619199,"[u'29.8906497', u'29.8917844', u'-97.937579', u'-97.9366208']",parking,amenity
,,,,,,,,,,
"Blanco Hall Garage, 201, Blanco Hall Drive, Castle Forest, San Marcos, Hays County, Texas, 78666, USA",0.201,179996607,-97.95306674,29.8871625,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",473661173,"[u'29.8864359', u'29.8878694', u'-97.9534976', u'-97.9519631']",parking,amenity
,,,,,,,,,,
"Bobcat Stadium West (P10W), Robbie Lane, Millview West, San Marcos, Hays County, Texas, 78666-7235, USA",0.201,174673057,-97.92662013,29.88930285,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456629559,"[u'29.8879005', u'29.8906269', u'-97.9275229', u'-97.9255221']",parking,amenity
,,,,,,,,,,
"Matthews Garage, 206, Student Center Drive, East Guadalupe, San Marcos, Hays County, Texas, 78666, USA",0.201,178124260,-97.94392305,29.89079995,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",476948162,"[u'29.8902159', u'29.8913611', u'-97.9443202', u'-97.9433111']",parking,amenity
,,,,,,,,,,
"Endzone Complex (R39), Robbie Lane, Millview West, San Marcos, Hays County, Texas, 78666-7235, USA",0.201,174294085,-97.92553723,29.88974215,way,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",456629560,"[u'29.8896485', u'29.8899136', u'-97.9257801', u'-97.9253792']",parking,amenity
